"year","zero","greater_than_zero","one_to_five","six_to_ten","eleven_to_twenty","twentyone_to_thirtyfive","thirtysix_to_fiftyfive","fiftysix_to_eightyfive","eightysix_to_onehundredfifteen","greater_than_onehundredfifteen"
"2003",574,0,0,0,0,0,0,0,0,0
"2004",504,1,0,0,0,0,1,0,0,0
"2005",669,6,4,0,0,0,2,0,0,0
"2006",653,0,0,0,0,0,0,0,0,0
"2007",697,0,0,0,0,0,0,0,0,0
"2008",685,0,0,0,0,0,0,0,0,0
"2009",684,0,0,0,0,0,0,0,0,0
"2010",716,0,0,0,0,0,0,0,0,0
"2011",699,0,0,0,0,0,0,0,0,0
"2012",701,0,0,0,0,0,0,0,0,0
"2013",471,0,0,0,0,0,0,0,0,0
"2014",685,0,0,0,0,0,0,0,0,0
"2015",672,0,0,0,0,0,0,0,0,0
"2016",692,0,0,0,0,0,0,0,0,0
"2017",708,0,0,0,0,0,0,0,0,0
"2018",703,1,1,0,0,0,0,0,0,0
"2019",349,0,0,0,0,0,0,0,0,0
"2021",684,0,0,0,0,0,0,0,0,0
"2022",635,0,0,0,0,0,0,0,0,0
"2023",662,0,0,0,0,0,0,0,0,0
"2024",659,0,0,0,0,0,0,0,0,0
