"year","count_of_length_cm","count_of_otosag_id","count_of_ovary_id","count_of_stomach_id","count_of_tissue_id","count_of_left_pectoral_fin_id"
"2003",1,0,0,0,0,0
"2004",0,0,0,0,0,0
"2005",3,0,0,0,0,0
"2006",0,0,0,0,0,0
"2007",0,0,0,0,0,0
"2008",1,0,0,0,0,0
"2009",0,0,0,0,0,0
"2010",1,0,0,0,0,0
"2011",0,0,0,0,0,0
"2012",0,0,0,0,0,0
"2013",0,0,0,0,0,0
"2014",0,0,0,0,0,0
"2015",1,0,0,0,0,0
"2016",4,0,0,0,0,0
"2017",0,0,0,0,0,0
"2018",2,0,0,0,0,0
"2019",0,0,0,0,0,0
"2021",1,0,0,0,0,0
"2022",3,0,0,0,0,0
"2023",0,0,0,0,0,0
"2024",0,0,0,0,0,0
